"name_full","name_sort","year_born","year_died","is_dead","org_acronym"
"Brad Armstrong","Brad Armstrong","1962","2012","1","WCW"
"Bret Hart","Bret Hart",,,"0","WCW"
"Brian Knobbs","Brian Knobbs",,,"0","WCW"
"Brian Pillman","Brian Pillman","1962","1997","1","WCW"
"Buddy Landel","Buddy Landel","1961","2015","1","WCW"
"Bunkhouse Buck","Bunkhouse Buck",,,"0","WCW"
"Butch Reed","Butch Reed","1954","2021","1","WCW"
"Cactus Jack","Cactus Jack",,,"0","WCW"
"Chavo Guerrero Jr.","Chavo Guerrero Jr.",,,"0","WCW"
"Chris Adams","Chris Adams","1955","2001","1","WCW"
"Chris Benoit","Chris Benoit","1967","2007","1","WCW"
"Chris Candido","Chris Candido","1972","2005","1","WCW"
"Chris Jericho","Chris Jericho",,,"0","WCW"
"Kanyon","Kanyon","1970","2010","1","WCW"
"Chuck Palumbo","Chuck Palumbo",,,"0","WCW"
"Cí­clope","Ciclope",,,"0","WCW"
"Crowbar","Crowbar",,,"0","WCW"
"Curt Hennig","Curt Hennig","1958","2003","1","WCW"
"Mr. Hughes","Mr. Hughes",,,"0","WCW"
"Daffney","Daffney","1975","2021","1","WCW"
"Damien","Damien",,,"0","WCW"
"Dan Spivey","Dan Spivey",,,"0","WCW"
"The Dangerous Alliance","Dangerous Alliance",,,"0","WCW"
"The Dark Carnival","Dark Carnival",,,"0","WCW"
"Dave Sullivan","Dave Sullivan",,,"0","WCW"
"The British Bulldog","British Bulldog","1962","2002","1","WCW"
"David Arquette","David Arquette",,,"0","WCW"
"David Flair","David Flair",,,"0","WCW"
"David Taylor","David Taylor",,,"0","WCW"
"Dean Malenko","Dean Malenko",,,"0","WCW"
"Debbie Combs","Debbie Combs",,,"0","WCW"
"The Demon","Demon",,,"0","WCW"
"Diamond Dallas Page","Diamond Dallas Page",,,"0","WCW"
"Dick Slater","Dick Slater","1951","2018","1","WCW"
"The Disciple","Disciple",,,"0","WCW"
"Disco Inferno","Disco Inferno",,,"0","WCW"
"The Dungeon of Doom","Dungeon of Doom",,,"0","WCW"
"Dustin Rhodes","Dustin Rhodes",,,"0","WCW"
"Dusty Rhodes","Dusty Rhodes","1945","2015","1","WCW"
"Eddie Guerrero","Eddie Guerrero","1967","2005","1","WCW"
"El Dandy","El Dandy",,,"0","WCW"
"El Gato","El Gato",,,"0","WCW"
"El Gigante","El Gigante","1966","2010","1","WCW"
"Elix Skipper","Elix Skipper",,,"0","WCW"
"Emory Hale","Emory Hale","1969","2006","1","WCW"
"Eric Bischoff","Eric Bischoff",,,"0","WCW"
"Ernest ""The Cat"" Miller","Ernest ""The Cat"" Miller",,,"0","WCW"
"Evan Karagias","Evan Karagias",,,"0","WCW"
"The Filthy Animals","Filthy Animals",,,"0","WCW"
"The First Family","First Family",,,"0","WCW"
"Fit Finlay","Fit Finlay",,,"0","WCW"
"The Four Horsemen","Four Horsemen",,,"0","WCW"
"The Giant","Giant",,,"0","WCW"
"Glacier","Glacier",,,"0","WCW"
"Goldberg","Goldberg",,,"0","WCW"
"The Great Muta","Great Muta",,,"0","WCW"
"Hardcore Hak","Hardcore Hak",,,"0","WCW"
"Héctor Garza","Hector Garza","1969","2013","1","WCW"
"Tenzan","Tenzan",,,"0","WCW"
"Honky Tonk Man","Honky Tonk Man",,,"0","WCW"
"Horace Hogan","Horace Hogan",,,"0","WCW"
"Hugh Morrus","Hugh Morrus",,,"0","WCW"
